WORD	GRAMMATICAL_CATEGORY	GENDER	PRESENT_TENSE_CATEGORY	FUTURE_TENSE_CATEGORY	PAST_TENSE_CATEGORY
ಓಡಾಡು	V	 	1R	1F	9S
ಓಡಿಸು	V	 	1R	1F	9S
ಓಡಿಹೋಗು	V	 	1R	1F	9S
ಓಡು	V	 	1R	1F	9S
ಓಡೆ 	N	F	8		
ಓಣಿ  	N	F	8		
ಓತಿ	N	N	7		
ಓದು	V	 	1R	1F	9S
ಓರಗೆ 	N	N	11		
ಓರೆಕೋರೆ 	N	N	7		
ಓಲಗಿಸು 	V		1R	1F	7S
ಓಲಾಡು	V		1R	1F	7S
ಓಲು 	V		1R	1F	7S
ಓಸರಿಸು 	N	N	10		
ಓಸರಿಸು  	V		1R	1F	7S
ಔತಣ 	N	N	5		
ಔದುಂಬರ	N	N	5		
ಔದ್ಯೋಗಿಕ 	J				
ಔಪಚಾರಿಕ 	J				
ಔಪಚಾರಿಕ  	N	M	1		
ಔಷದ  	N	N	5		
ಕಂಕಣಕಟ್ಟು 	V		1R	1F	8S
ಕಂಗನೆ	D				
ಕಂಗಾಲಾಗು  	V		1R	1F	8S
ಕಂಗೆಟ್ಟ	V	 	1R	1F	9S
ಕಂಗೆಡು	V	 	1R	1F	9S
ಕಂಗೆಡು 	V		1R	1F	5S
ಕಂಟಿಸು	V		1R	1F	7S
ಕಂಡರಿಸು  	V		1R	1F	8S
ಕಂಡು	V	 	1R	1F	2S
ಕಂದಾಯ 	N	N	5		
ಕಂದುಕ  	N	N	5		
ಕಂಪಿಸು	V	 	1R	1F	9S
ಕಂಪಿಸು 	N	N	6		
ಕಂಪಿಸು 	V		1R	1F	7S
ಕಂಬಿಕೀಳು	V		1R	1F	4S
ಕಕ್ಕು	V		1R	1F	6S
ಕಗ್ಗ  	N	N	5		
ಕಗ್ಗಂಟು  	N	N	11		
ಕಗ್ಗತ್ತಲು 	N	N	5		
ಕಚ್ಚಾ  	J				
ಕಚ್ಚಿಸು	V	 	1R	1F	9S
ಕಚ್ಚು	V	 	1R	1F	9S
ಕಟು  	J				
ಕಟು  	N	N	5		
ಕಟುಕ  	N	M	1		
ಕಟ್ಟಡ	N	N	5		
ಕಟ್ಟಿಗೆ	N	X	7		
ಕಟ್ಟಿಸು	V	 	1R	1F	9S
ಕಟ್ಟು	V	 	1R	1F	9S
ಕಠಿಣ	J				
ಕಡಂಗು	V		1R	1F	7S
ಕಡಿ	V	 	2R	2F	9S
ಕಡಿಸು	V	 	1R	1F	9S
ಕಡು	D				
ಕಡೆ	V	 	2R	2F	9S
ಕಡೆಗಣಿಸು	V	 	1R	1F	9S
ಕಡೆಗಣಿಸು 	V		1R	1F	7S
ಕಡೆಸು	V	 	1R	1F	9S
ಕಡೆಹಾಯಿಸು	V		1R	1F	7S
ಕಡ್ಡ	J				
ಕಣ್ಣಿಡು	V	 	1R	1F	5S
ಕಣ್ಣೀರಿಡು	V	 	1R	1F	5S
ಕಣ್ಣುತುಂಬು	V	 	1R	1F	9S
ಕತಿಪಯಾ 	D				
ಕತ್ತರಿಸು	V	 	1R	1F	9S
ಕತ್ತರಿಸು  	V		1R	1F	7S
ಕಥಿತ	J				
ಕದಕಧಿಸು	V		1R	1F	7S
ಕದಡು  	V		1R	1F	7S
ಕದರ್ಥಿಸು 	V		1R	1F	7S
ಕದಲು	V		1R	1F	7S
ಕದಿ	V		2R	2F	6S
ಕದಿ	V	 	2R	2F	9S
ಕನ್ನಡಿಸು 	V		1R	1F	7S
ಕಪ್ಪಾಗು	V	 	1R	1F	9S
ಕಬಳಿಸು	V		1R	1F	7S
ಕಬಳಿಸು	V	 	1R	1F	9S
ಕಮ್ಮಗೆ	D				
ಕಮ್ಮನೆ	J				
ಕಮ್ಮಿತ್ತು	J				
ಕರಂಗು	V		1R	1F	6S
ಕರಗಿಸು	V	 	1R	1F	9S
ಕರಗು	V		1R	1F	7S
ಕರಟು 	V		1R	1F	7S
ಕರಾಳ 	J				
ಕರಿ	V	 	2R	2F	9S
ಕರಿದು	V	 	2R	2F	9S
ಕರೆ	V	 	2R	2F	9S
ಕರೆದು	V	 	2R	2F	9S
ಕರೆಯು	V	 	1R	1F	9S
ಕರ್ಕಶ	J				
ಕರ್ಗು  	V		1R	1F	7S
ಕರ್ಚು  	V		1R	1F	7S
ಕರ್ಣ	N	M	1		
ಕಲ 	J				
ಕಲಸು	V	 	1R	1F	9S
ಕಲಿ	V	 	2R	2F	9S
ಕಲಿಸು	V	 	1R	1F	9S
ಕಲೆ	V	 	2R	2F	4S
ಕಲೆ	V	 	2R	2F	9S
ಕಲೆಸು	V	 	1R	1F	9S
ಕಲ್ಲು	N	X	1		
ಕಳಕೊಳ್ಳು	V	 	1R	1F	9S
ಕಳಚು	V	 	1R	1F	9S
ಕಳಿಸು	V	 	1R	1F	9S
ಕಳುಹಿಸು	V	 	1R	1F	9S
ಕಳೆ	V	 	2R	2F	9S
ಕಳೆಕೀಳು	V	 	1R	1F	9S
ಕಳೆದಿಡು	V	 	1R	1F	5S
ಕಶ್ಯಪ	N	M	1		
ಕಷ್ಟಪಡು	V	 	1R	1F	5S
ಕಸಿ	V	 	2R	2F	9S
ಕಾಡಿಸು	V	 	1R	1F	9S
ಕಾಡು	V	 	1R	1F	7S
ಕಾಣು	V	 	1R	1F	2S
ಕಾಣು	V	 	1R	1F	9S
ಕಾದಾಡು	V	 	1R	1F	9S
ಕಾದಿ	V	 	2R	2F	6S
ಕಾಪಾಡು	V	 	1R	1F	9S
ಕಾಮ್ಯ 	J				
ಕಾಯಿಸು	V	 	1R	1F	9S
ಕಾಯು	V	 	1R	1F	9S
ಕಾಯು	V	 	2R	2F	7S
ಕಾಲ	N	X	9		
ಕಾಲಾಂತರ	N	X	10		
ಕಾಲಿಡು	V	 	1R	1F	5S
ಕಾಲ್ಪನಿಕ	J				
ಕಿಂಚಿತ್ತು 	J				
ಕಿತ್ತಾಡು	V	 	1R	1F	9S
ಕಿರಿಸ್ತಾನ	J				
ಕಿರುಚು	V	 	1R	1F	9S
ಕಿವಿಊದು	V	 	1R	1F	9S
ಕಿವಿಯೊಡಿ	V	 	2R	2F	9S
ಕಿವಿಯೊಡೆ	V	 	2R	2F	9S
ಕೀರ್ತಿ	J				
ಕೀಳು	V	 	1R	1F	4S
ಕೀಳು	V	 	1R	1F	9S
ಕುಂಠಿತ 	J				
ಕುಂದು	V	 	1R	1F	9S
ಕುಗ್ಗು	V	 	1R	1F	9S
ಕುಟ್ಟು	V	 	1R	1F	9S
ಕುಡಿ	V	 	2R	2F	9S
ಕುಡಿಸು	V	 	1R	1F	9S
ಕುಣಿ	V	 	2R	2F	9S
ಕುಣಿದು	V	 	2R	2F	7S
ಕುಣಿಸು	V	 	1R	1F	9S
ಕುತ್ತು	V	 	1R	1F	4S
