TOKEN_NO	TOKEN	PREFIX	STEM	SUFFIX	STATUS
98	ಏನು	-	ಏ	ನು	Root word is not in the lexicon
98	ಏನು	-	ಏ	ನು	Root word is not in the lexicon
99	ಸುಖ	ಸು	ಖ	-	Root word is not in the lexicon
99	ಸುಖ	ಸು	ಖ	-	Root word is not in the lexicon
100	ಕಾಣ್್ಬೇಕು	-	ಕಾಣ್್ಬೇಕು	-	Root word is not in the lexicon
102	ಬೋರೆ	-	ಬೋರೆ	-	Root word is not in the lexicon
103	ದಿಕ್ಕಿಗೆ	-	ದಿಕ್ಕಿ	ಗೆ	Root word is not in the lexicon
103	ದಿಕ್ಕಿಗೆ	-	ದಿಕ್ಕಿ	ಗೆ	Root word is not in the lexicon
104	ಮಕ	-	ಮಕ	-	Root word is not in the lexicon
106	ನಿನ್ನೆಯದು	ನಿ	ನ್ನೆಯದು	-	Root word is not in the lexicon
106	ನಿನ್ನೆಯದು	-	ನಿನ್ನೆಯ	ದು	Root word is not in the lexicon
106	ನಿನ್ನೆಯದು	ನಿ	ನ್ನೆಯ	ದು	Root word is not in the lexicon
107	ನೆನಪಾಯಿತು	-	ನೆನಪಾ	ಯಿತು	Root word is not in the lexicon
107	ನೆನಪಾಯಿತು	-	ನೆನಪಾ	ಯಿತು	Root word is not in the lexicon
107	ನೆನಪಾಯಿತು	-	ನೆನಪಾ	ಯಿತು	Root word is not in the lexicon
108	ಜಡೆ	-	ಜಡೆ	-	Root word is not in the lexicon
109	ಮುನಿಗುಡ್ಡ	-	ಮುನಿಗುಡ್ಡ	-	Root word is not in the lexicon
110	ಅಂದರೆ	ಅ	ಂದರೆ	-	Root word is not in the lexicon
110	ಅಂದರೆ	ಅ	ಂದರೆ	-	Root word is not in the lexicon
111	ಊರೊಳಗೆ	-	ಊರೊಳ	ಗೆ	Root word is not in the lexicon
111	ಊರೊಳಗೆ	-	ಊರೊಳ	ಗೆ	Root word is not in the lexicon
112	ಇವತಿಗೂ	-	ಇವತಿಗೂ	-	Root word is not in the lexicon
113	ಭಯ	-	ಭ	ಯ	Root word is not in the lexicon
113	ಭಯ	-	ಭ	ಯ	Root word is not in the lexicon
113	ಭಯ	-	ಭ	ಯ	Root word is not in the lexicon
114	ಅದೆ	ಅ	ದೆ	-	Root word is not in the lexicon
114	ಅದೆ	ಅ	ದೆ	-	Root word is not in the lexicon
115	ಭಕುತಿ	-	ಭಕುತಿ	-	Root word is not in the lexicon
116	ಗೌರವ	-	ಗೌರ	ವ	Root word is not in the lexicon
116	ಗೌರವ	-	ಗೌರ	ವ	Root word is not in the lexicon
116	ಗೌರವ	-	ಗೌರ	ವ	Root word is not in the lexicon
118	ತಾನು	-	ತಾನು	11S,@,1	Root word is not in the lexicon
118	ತಾನು	-	ತಾ	ನು	Root word is not in the lexicon
118	ತಾನು	-	ತಾ	ನು	Root word is not in the lexicon
119	ಇಳ್ಳೊತ್ತು	-	ಇಳ್ಳೊತ್ತು	-	Root word is not in the lexicon
120	ಅದರಂಡಿ	ಅ	ದರಂಡಿ	-	Root word is not in the lexicon
120	ಅದರಂಡಿ	ಅ	ದರಂಡಿ	-	Root word is not in the lexicon
121	ಕಂಡದ್ದೇನು	-	ಕಂಡದ್	ದೇನು	Root word is not in the lexicon
121	ಕಂಡದ್ದೇನು	-	ಕಂಡ	ದ್ದೇನು	Root word is not in the lexicon
121	ಕಂಡದ್ದೇನು	-	ಕಂಡದ್ದೇ	ನು	Root word is not in the lexicon
121	ಕಂಡದ್ದೇನು	-	ಕಂಡದ್ದೇ	ನು	Root word is not in the lexicon
122	ಅದನು	-	ಅದ	ನು	Root word is not in the lexicon
122	ಅದನು	ಅ	ದ	ನು	Root word is not in the lexicon
123	ಊಹಿಸೋದಿಕೆ	-	ಊಹಿಸೋದಿಕೆ	-	Root word is not in the lexicon
124	ಆಗುತ್ತಾ	-	ಆಗುತ್ತಾ	-	Root word is not in the lexicon
125	ತರಗೆಲೆಗೆ	-	ತರಗೆಲೆ	ಗೆ	Root word is not in the lexicon
125	ತರಗೆಲೆಗೆ	-	ತರಗೆಲೆ	ಗೆ	Root word is not in the lexicon
126	ಹಂಗರಗಡ್ಡಿಗೆ	-	ಹಂಗರಗಡ್ಡಿ	ಗೆ	Root word is not in the lexicon
126	ಹಂಗರಗಡ್ಡಿಗೆ	-	ಹಂಗರಗಡ್ಡಿ	ಗೆ	Root word is not in the lexicon
127	ಸೌದೆಗೆ	-	ಸೌದೆ	ಗೆ	Root word is not in the lexicon
127	ಸೌದೆಗೆ	-	ಸೌದೆ	ಗೆ	Root word is not in the lexicon
128	ಮಣ್ಣಿಗೆ	-	ಮಣ್ಣಿ	ಗೆ	Root word is not in the lexicon
